Test,Frequency,Fixtures
Hose_All_Freq_avg_ambient_4a2,f400,33.60644753
Hose_All_Freq_avg_ambient_4a2,f500,37.41000287
Hose_All_Freq_avg_ambient_4a2,f630,28.23064747
Hose_All_Freq_avg_ambient_4a2,f800,34.94233111
Hose_All_Freq_avg_ambient_4a2,f1000,37.01216211
Hose_All_Freq_avg_ambient_4a2,f1250,31.08735171
Hose_All_Freq_avg_ambient_4a2,f1600,33.42679716
Hose_All_Freq_avg_ambient_4a2,f2000,35.46588587
Hose_All_Freq_avg_ambient_4a2,f2500,32.72151256
Hose_All_Freq_avg_ambient_4a2,f3100,30.10585555
Hose_All_Freq_avg_ambient_4a2,f4000,30.470041
Hose_All_Freq_avg_ambient_4a2,f5000,31.47068818
Hose_All_Freq_avg_ambient_4a2,f6300,32.92063296
Hose_All_Freq_avg_ambient_4a2,f8000,30.68900702
Hose_All_Freq_avg_ambient_4a2,f10000,22.29622345
Lav_Faucet_All_Freq_avg_contact_4b1,f25,9.43712928
Lav_Faucet_All_Freq_avg_contact_4b1,f31_5,9.613068436
Lav_Faucet_All_Freq_avg_contact_4b1,f40,11.17416273
Lav_Faucet_All_Freq_avg_contact_4b1,f50,13.95932093
Lav_Faucet_All_Freq_avg_contact_4b1,f63,18.01388625
Lav_Faucet_All_Freq_avg_contact_4b1,f80,25.10721896
Lav_Faucet_All_Freq_avg_contact_4b1,f100,31.23180075
Lav_Faucet_All_Freq_avg_contact_4b1,f125,35.34250935
Lav_Faucet_All_Freq_avg_contact_4b1,f160,44.26635742
Lav_Faucet_All_Freq_avg_contact_4b1,f200,42.98375505
Lav_Faucet_All_Freq_avg_contact_4b1,f250,43.7787926
Lav_Faucet_All_Freq_avg_contact_4b1,f315,44.77549327
Lav_Faucet_All_Freq_avg_contact_4b1,f400,37.70226295
Lav_Faucet_All_Freq_avg_contact_4b1,f500,35.28471838
Lav_Faucet_All_Freq_avg_contact_4b1,f630,42.62129411
Lav_Faucet_All_Freq_avg_contact_4b1,f800,31.24523027
Lav_Faucet_All_Freq_avg_contact_4b1,f1000,22.06077206
Lav_Faucet_All_Freq_avg_contact_4b1,f1250,19.14769424
Lav_Faucet_All_Freq_avg_contact_4b1,f1600,12.79458867
Lav_Faucet_All_Freq_avg_contact_4b1,f2000,10.06076178
Lav_Faucet_All_Freq_avg_contact_4b1,f2500,10.48832012
Lav_Faucet_All_Freq_avg_contact_4b1,f3100,8.136059225
Lav_Faucet_All_Freq_avg_contact_4b1,f4000,6.275173496
Lav_Faucet_All_Freq_avg_contact_4b1,f5000,4.962866464
Lav_Faucet_All_Freq_avg_contact_4b1,f6300,4.210760602
Lav_Faucet_All_Freq_avg_contact_4b1,f8000,4.205247745
Lav_Faucet_All_Freq_avg_contact_4b1,f10000,5.626212307
Lav_Faucet_All_Freq_avg_ambient_4b1,f25,9.09969858
Lav_Faucet_All_Freq_avg_ambient_4b1,f31_5,8.495034082
Lav_Faucet_All_Freq_avg_ambient_4b1,f40,8.423498431
Lav_Faucet_All_Freq_avg_ambient_4b1,f50,11.29438415
Lav_Faucet_All_Freq_avg_ambient_4b1,f63,13.59732667
Lav_Faucet_All_Freq_avg_ambient_4b1,f80,12.15513138
Lav_Faucet_All_Freq_avg_ambient_4b1,f100,12.34174058
Lav_Faucet_All_Freq_avg_ambient_4b1,f125,14.23490952
Lav_Faucet_All_Freq_avg_ambient_4b1,f160,12.58834567
