Test,Frequency,Fixtures
Lav_Faucet Closest_Ambient_Tst_2a,f50,9.726198645
Lav_Faucet Closest_Ambient_Tst_2a,f63,11.49941932
Lav_Faucet Closest_Ambient_Tst_2a,f80,8.96848263
Lav_Faucet Closest_Ambient_Tst_2a,f100,9.55319649
Lav_Faucet Closest_Ambient_Tst_2a,f125,9.517986055
Lav_Faucet Closest_Ambient_Tst_2a,f160,7.143708845
Lav_Faucet Closest_Ambient_Tst_2a,f200,10.35062431
Lav_Faucet Closest_Ambient_Tst_2a,f250,11.00780968
Lav_Faucet Closest_Ambient_Tst_2a,f315,9.767327675
Lav_Faucet Closest_Ambient_Tst_2a,f400,6.83691238
Lav_Faucet Closest_Ambient_Tst_2a,f500,7.14854028
Lav_Faucet Closest_Ambient_Tst_2a,f630,8.23640091
Lav_Faucet Closest_Ambient_Tst_2a,f800,13.88193535
Lav_Faucet Closest_Ambient_Tst_2a,f1000,30.6844995
Lav_Faucet Closest_Ambient_Tst_2a,f1250,48.2427765
Lav_Faucet Closest_Ambient_Tst_2a,f1600,28.64356455
Lav_Faucet Closest_Ambient_Tst_2a,f2000,13.59846925
Lav_Faucet Closest_Ambient_Tst_2a,f2500,11.73224295
Lav_Faucet Closest_Ambient_Tst_2a,f3100,6.870382885
Lav_Faucet Closest_Ambient_Tst_2a,f4000,11.93523563
Lav_Faucet Closest_Ambient_Tst_2a,f5000,12.13217378
Lav_Faucet Closest_Ambient_Tst_2a,f6300,17.9072958
Lav_Faucet Closest_Ambient_Tst_2a,f8000,16.0381599
Lav_Faucet Closest_Ambient_Tst_2a,f10000,10.8301141
Lav_Faucet Closest_Contact_Tst_3a,f25,9.647456384
Lav_Faucet Closest_Contact_Tst_3a,f31_5,8.212301042
Lav_Faucet Closest_Contact_Tst_3a,f40,9.506709358
Lav_Faucet Closest_Contact_Tst_3a,f50,13.27469084
Lav_Faucet Closest_Contact_Tst_3a,f63,17.07684484
Lav_Faucet Closest_Contact_Tst_3a,f80,23.095275
Lav_Faucet Closest_Contact_Tst_3a,f100,28.04372395
Lav_Faucet Closest_Contact_Tst_3a,f125,32.70940316
Lav_Faucet Closest_Contact_Tst_3a,f160,41.01049437
Lav_Faucet Closest_Contact_Tst_3a,f200,40.45958332
Lav_Faucet Closest_Contact_Tst_3a,f250,41.00901437
Lav_Faucet Closest_Contact_Tst_3a,f315,41.15477489
Lav_Faucet Closest_Contact_Tst_3a,f400,36.567755
Lav_Faucet Closest_Contact_Tst_3a,f500,34.26167516
Lav_Faucet Closest_Contact_Tst_3a,f630,39.24319432
Lav_Faucet Closest_Contact_Tst_3a,f800,30.15290526
Lav_Faucet Closest_Contact_Tst_3a,f1000,21.47738858
Lav_Faucet Closest_Contact_Tst_3a,f1250,20.20384771
Lav_Faucet Closest_Contact_Tst_3a,f1600,13.22848571
Lav_Faucet Closest_Contact_Tst_3a,f2000,10.48361226
Lav_Faucet Closest_Contact_Tst_3a,f2500,12.012443
Lav_Faucet Closest_Contact_Tst_3a,f3100,10.53451745
Lav_Faucet Closest_Contact_Tst_3a,f4000,10.10821307
Lav_Faucet Closest_Contact_Tst_3a,f5000,6.263511805
Lav_Faucet Closest_Contact_Tst_3a,f6300,4.060663237
Lav_Faucet Closest_Contact_Tst_3a,f8000,4.018100395
Lav_Faucet Closest_Contact_Tst_3a,f10000,5.690767574
Lav_Faucet Closest_Ambient_Tst_3a,f25,7.764848837
Lav_Faucet Closest_Ambient_Tst_3a,f31_5,5.695756274
Lav_Faucet Closest_Ambient_Tst_3a,f40,6.651191211
Lav_Faucet Closest_Ambient_Tst_3a,f50,10.54922058
Lav_Faucet Closest_Ambient_Tst_3a,f63,12.37566536
Lav_Faucet Closest_Ambient_Tst_3a,f80,10.17058989
Lav_Faucet Closest_Ambient_Tst_3a,f100,11.27579279
Lav_Faucet Closest_Ambient_Tst_3a,f125,11.00638392
Lav_Faucet Closest_Ambient_Tst_3a,f160,13.196168
Lav_Faucet Closest_Ambient_Tst_3a,f200,12.97720068
Lav_Faucet Closest_Ambient_Tst_3a,f250,17.69899579
Lav_Faucet Closest_Ambient_Tst_3a,f315,19.53793305
Lav_Faucet Closest_Ambient_Tst_3a,f400,20.16201132
Lav_Faucet Closest_Ambient_Tst_3a,f500,24.86099984
Lav_Faucet Closest_Ambient_Tst_3a,f630,16.19945937
Lav_Faucet Closest_Ambient_Tst_3a,f800,24.38493789
Lav_Faucet Closest_Ambient_Tst_3a,f1000,21.40468289
Lav_Faucet Closest_Ambient_Tst_3a,f1250,24.31460411
Lav_Faucet Closest_Ambient_Tst_3a,f1600,25.22099937
Lav_Faucet Closest_Ambient_Tst_3a,f2000,26.22086937
Lav_Faucet Closest_Ambient_Tst_3a,f2500,29.29585642
Lav_Faucet Closest_Ambient_Tst_3a,f3100,31.49630721
Lav_Faucet Closest_Ambient_Tst_3a,f4000,34.49062047
Lav_Faucet Closest_Ambient_Tst_3a,f5000,37.87401479
Lav_Faucet Closest_Ambient_Tst_3a,f6300,41.11575847
Lav_Faucet Closest_Ambient_Tst_3a,f8000,39.76487605
Lav_Faucet Closest_Ambient_Tst_3a,f10000,34.69915337
Lav_Faucet Closest_Contact_Tst_5a,f25,11.01516346
Lav_Faucet Closest_Contact_Tst_5a,f31_5,10.95556705
Lav_Faucet Closest_Contact_Tst_5a,f40,11.48956913
Lav_Faucet Closest_Contact_Tst_5a,f50,13.82657368
Lav_Faucet Closest_Contact_Tst_5a,f63,15.4371313
Lav_Faucet Closest_Contact_Tst_5a,f80,17.79789785
Lav_Faucet Closest_Contact_Tst_5a,f100,24.0251075
Lav_Faucet Closest_Contact_Tst_5a,f125,30.6969987
Lav_Faucet Closest_Contact_Tst_5a,f160,40.76193275
Lav_Faucet Closest_Contact_Tst_5a,f200,37.33516145
Lav_Faucet Closest_Contact_Tst_5a,f250,42.6686028
Lav_Faucet Closest_Contact_Tst_5a,f315,40.8746102
Lav_Faucet Closest_Contact_Tst_5a,f400,34.64514205
Lav_Faucet Closest_Contact_Tst_5a,f500,33.93684495
Lav_Faucet Closest_Contact_Tst_5a,f630,40.655165
Lav_Faucet Closest_Contact_Tst_5a,f800,29.58838135
Lav_Faucet Closest_Contact_Tst_5a,f1000,20.66720915
Lav_Faucet Closest_Contact_Tst_5a,f1250,18.01271213
Lav_Faucet Closest_Contact_Tst_5a,f1600,10.72216044
